PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28729065","Neural Circuits for Social Cognition: Implications for Autism","Fernández M, Mollinedo-Gajate I, Peñagarikano O.","Neuroscience. 2018 Feb 1;370:148-162. doi: 10.1016/j.neuroscience.2017.07.013. Epub 2017 Jul 17.","Fernández M","Neuroscience","2018","2017/07/22","","","10.1016/j.neuroscience.2017.07.013"
"28843041","The social hippocampus","Montagrin A, Saiote C, Schiller D.","Hippocampus. 2018 Sep;28(9):672-679. doi: 10.1002/hipo.22797. Epub 2017 Sep 7.","Montagrin A","Hippocampus","2018","2017/08/27","","","10.1002/hipo.22797"
"30062689","Social neuroscience of disgust","Kavaliers M, Ossenkopp KP, Choleris E.","Genes Brain Behav. 2019 Jan;18(1):e12508. doi: 10.1111/gbb.12508. Epub 2018 Aug 24.","Kavaliers M","Genes Brain Behav","2019","2018/08/01","","","10.1111/gbb.12508"
"28163161","Zebrafish models of autism spectrum disorder","Meshalkina DA, N Kizlyk M, V Kysil E, Collier AD, Echevarria DJ, Abreu MS, Barcellos LJG, Song C, Warnick JE, Kyzar EJ, Kalueff AV.","Exp Neurol. 2018 Jan;299(Pt A):207-216. doi: 10.1016/j.expneurol.2017.02.004. Epub 2017 Feb 3.","Meshalkina DA","Exp Neurol","2018","2017/02/07","","","10.1016/j.expneurol.2017.02.004"
"30193704","Social Factors and Animal Models of Cannabis Use","Hood L.","Int Rev Neurobiol. 2018;140:171-200. doi: 10.1016/bs.irn.2018.07.006. Epub 2018 Aug 17.","Hood L","Int Rev Neurobiol","2018","2018/09/09","","","10.1016/bs.irn.2018.07.006"
"32233912","Brain Lateralization: A Comparative Perspective","Güntürkün O, Ströckens F, Ocklenburg S.","Physiol Rev. 2020 Jul 1;100(3):1019-1063. doi: 10.1152/physrev.00006.2019.","Güntürkün O","Physiol Rev","2020","2020/04/03","","","10.1152/physrev.00006.2019"
"31544620","The neuroscience of vision and pain: evolution of two disciplines","Finlay BL.","Philos Trans R Soc Lond B Biol Sci. 2019 Nov 11;374(1785):20190292. doi: 10.1098/rstb.2019.0292. Epub 2019 Sep 23.","Finlay BL","Philos Trans R Soc Lond B Biol Sci","2019","2019/09/24","PMC6790377","","10.1098/rstb.2019.0292"
"27707008","Social neuroscience: undoing the schism between neurology and psychiatry","Ibáñez A, García AM, Esteves S, Yoris A, Muñoz E, Reynaldo L, Pietto ML, Adolfi F, Manes F.","Soc Neurosci. 2018 Feb;13(1):1-39. doi: 10.1080/17470919.2016.1245214. Epub 2016 Oct 27.","Ibáñez A","Soc Neurosci","2018","2016/10/07","","","10.1080/17470919.2016.1245214"
"28864972","Oxytocin Modulation of Neural Circuits","Mitre M, Minder J, Morina EX, Chao MV, Froemke RC.","Curr Top Behav Neurosci. 2018;35:31-53. doi: 10.1007/7854_2017_7.","Mitre M","Curr Top Behav Neurosci","2018","2017/09/03","PMC5834368","NIHMS916372","10.1007/7854_2017_7"
"26964681","The microbiota-gut-brain axis and its potential therapeutic role in autism spectrum disorder","Li Q, Zhou JM.","Neuroscience. 2016 Jun 2;324:131-9. doi: 10.1016/j.neuroscience.2016.03.013. Epub 2016 Mar 8.","Li Q","Neuroscience","2016","2016/03/12","","","10.1016/j.neuroscience.2016.03.013"
"31312163","Music and Language in Social Interaction: Synchrony, Antiphony, and Functional Origins","Oesch N.","Front Psychol. 2019 Jul 2;10:1514. doi: 10.3389/fpsyg.2019.01514. eCollection 2019.","Oesch N","Front Psychol","2019","2019/07/18","PMC6614337","","10.3389/fpsyg.2019.01514"
"28659766","Neuroanatomical Substrates of Rodent Social Behavior: The Medial Prefrontal Cortex and Its Projection Patterns","Ko J.","Front Neural Circuits. 2017 Jun 13;11:41. doi: 10.3389/fncir.2017.00041. eCollection 2017.","Ko J","Front Neural Circuits","2017","2017/06/30","PMC5468389","","10.3389/fncir.2017.00041"
"31729923","The neuroscience of unmet social needs","Tomova L, Tye K, Saxe R.","Soc Neurosci. 2019 Nov 20:1-11. doi: 10.1080/17470919.2019.1694580. Online ahead of print.","Tomova L","Soc Neurosci","2019","2019/11/16","","","10.1080/17470919.2019.1694580"
"28992230","Social Cognition and the Neurobiology of Rodent Mate Choice","Kavaliers M, Choleris E.","Integr Comp Biol. 2017 Oct 1;57(4):846-856. doi: 10.1093/icb/icx042.","Kavaliers M","Integr Comp Biol","2017","2017/10/10","","","10.1093/icb/icx042"
"31665627","Maturation of PNN and ErbB4 Signaling in Area CA2 during Adolescence Underlies the Emergence of PV Interneuron Plasticity and Social Memory","Domínguez S, Rey CC, Therreau L, Fanton A, Massotte D, Verret L, Piskorowski RA, Chevaleyre V.","Cell Rep. 2019 Oct 29;29(5):1099-1112.e4. doi: 10.1016/j.celrep.2019.09.044.","Domínguez S","Cell Rep","2019","2019/10/31","","","10.1016/j.celrep.2019.09.044"
"31557539","Age-related hearing loss and tinnitus, dementia risk, and auditory amplification outcomes","Jafari Z, Kolb BE, Mohajerani MH.","Ageing Res Rev. 2019 Dec;56:100963. doi: 10.1016/j.arr.2019.100963. Epub 2019 Sep 23.","Jafari Z","Ageing Res Rev","2019","2019/09/27","","","10.1016/j.arr.2019.100963"
"30078829","Development of social systems neuroscience using macaques","Isoda M, Noritake A, Ninomiya T.","Proc Jpn Acad Ser B Phys Biol Sci. 2018;94(7):305-323. doi: 10.2183/pjab.94.020.","Isoda M","Proc Jpn Acad Ser B Phys Biol Sci","2018","2018/08/07","PMC6117490","","10.2183/pjab.94.020"
"31735152","Syntax and compositionality in animal communication","Zuberbühler K.","Philos Trans R Soc Lond B Biol Sci. 2020 Jan 6;375(1789):20190062. doi: 10.1098/rstb.2019.0062. Epub 2019 Nov 18.","Zuberbühler K","Philos Trans R Soc Lond B Biol Sci","2020","2019/11/19","PMC6895557","","10.1098/rstb.2019.0062"
"28757455","Affordances and neuroscience: Steps towards a successful marriage","de Wit MM, de Vries S, van der Kamp J, Withagen R.","Neurosci Biobehav Rev. 2017 Sep;80:622-629. doi: 10.1016/j.neubiorev.2017.07.008. Epub 2017 Jul 27.","de Wit MM","Neurosci Biobehav Rev","2017","2017/08/01","","","10.1016/j.neubiorev.2017.07.008"
"32409861","miRNA regulation of social and anxiety-related behaviour","Narayanan R, Schratt G.","Cell Mol Life Sci. 2020 Nov;77(21):4347-4364. doi: 10.1007/s00018-020-03542-7. Epub 2020 May 14.","Narayanan R","Cell Mol Life Sci","2020","2020/05/16","","","10.1007/s00018-020-03542-7"
"28434591","Oxytocin and vasopressin neural networks: Implications for social behavioral diversity and translational neuroscience","Johnson ZV, Young LJ.","Neurosci Biobehav Rev. 2017 May;76(Pt A):87-98. doi: 10.1016/j.neubiorev.2017.01.034.","Johnson ZV","Neurosci Biobehav Rev","2017","2017/04/25","PMC5407410","NIHMS849902","10.1016/j.neubiorev.2017.01.034"
"28051932","Social Learning and Culture in Child and Chimpanzee","Whiten A.","Annu Rev Psychol. 2017 Jan 3;68:129-154. doi: 10.1146/annurev-psych-010416-044108.","Whiten A","Annu Rev Psychol","2017","2017/01/05","","","10.1146/annurev-psych-010416-044108"
"29867123","Socioeconomic status and the brain: prospects for neuroscience-informed policy","Farah MJ.","Nat Rev Neurosci. 2018 Jul;19(7):428-438. doi: 10.1038/s41583-018-0023-2.","Farah MJ","Nat Rev Neurosci","2018","2018/06/06","","","10.1038/s41583-018-0023-2"
"27477199","Social Preference and Glutamatergic Dysfunction: Underappreciated Prerequisites for Social Dysfunction in Schizophrenia","Lee J, Green MF.","Trends Neurosci. 2016 Sep;39(9):587-596. doi: 10.1016/j.tins.2016.06.005. Epub 2016 Jul 29.","Lee J","Trends Neurosci","2016","2016/08/02","PMC5951176","NIHMS796626","10.1016/j.tins.2016.06.005"
"27881856","Stress, glucocorticoids and memory: implications for treating fear-related disorders","de Quervain D, Schwabe L, Roozendaal B.","Nat Rev Neurosci. 2017 Jan;18(1):7-19. doi: 10.1038/nrn.2016.155. Epub 2016 Nov 24.","de Quervain D","Nat Rev Neurosci","2017","2016/11/25","","","10.1038/nrn.2016.155"
"27587003","The neurobiology of social play and its rewarding value in rats","Vanderschuren LJ, Achterberg EJ, Trezza V.","Neurosci Biobehav Rev. 2016 Nov;70:86-105. doi: 10.1016/j.neubiorev.2016.07.025. Epub 2016 Aug 29.","Vanderschuren LJ","Neurosci Biobehav Rev","2016","2016/09/03","PMC5074863","NIHMS818199","10.1016/j.neubiorev.2016.07.025"
"28544863","How Social Status Shapes Person Perception and Evaluation: A Social Neuroscience Perspective","Mattan BD, Kubota JT, Cloutier J.","Perspect Psychol Sci. 2017 May;12(3):468-507. doi: 10.1177/1745691616677828.","Mattan BD","Perspect Psychol Sci","2017","2017/05/26","","","10.1177/1745691616677828"
"26886798","Adult restoration of Shank3 expression rescues selective autistic-like phenotypes","Mei Y, Monteiro P, Zhou Y, Kim JA, Gao X, Fu Z, Feng G.","Nature. 2016 Feb 25;530(7591):481-4. doi: 10.1038/nature16971. Epub 2016 Feb 17.","Mei Y","Nature","2016","2016/02/18","PMC4898763","NIHMS749633","10.1038/nature16971"
"33260106","Translational opportunities for circuit-based social neuroscience: advancing 21st century psychiatry","Ford CL, Young LJ.","Curr Opin Neurobiol. 2020 Nov 28;68:1-8. doi: 10.1016/j.conb.2020.11.007. Online ahead of print.","Ford CL","Curr Opin Neurobiol","2020","2020/12/01","","","10.1016/j.conb.2020.11.007"
"26946502","A Plea for Cross-species Social Neuroscience","Keysers C, Gazzola V.","Curr Top Behav Neurosci. 2017;30:179-191. doi: 10.1007/7854_2016_439.","Keysers C","Curr Top Behav Neurosci","2017","2016/03/07","PMC5536225","EMS73474","10.1007/7854_2016_439"
"27639446","Social manipulation in nonhuman primates: Cognitive and motivational determinants","Völter CJ, Rossano F, Call J.","Neurosci Biobehav Rev. 2017 Nov;82:76-94. doi: 10.1016/j.neubiorev.2016.09.008. Epub 2016 Sep 14.","Völter CJ","Neurosci Biobehav Rev","2017","2016/09/19","","","10.1016/j.neubiorev.2016.09.008"
"28034660","Social learning, culture and the 'socio-cultural brain' of human and non-human primates","Whiten A, van de Waal E.","Neurosci Biobehav Rev. 2017 Nov;82:58-75. doi: 10.1016/j.neubiorev.2016.12.018. Epub 2016 Dec 26.","Whiten A","Neurosci Biobehav Rev","2017","2016/12/31","","","10.1016/j.neubiorev.2016.12.018"
"28177090","Explaining Delusions: Reducing Uncertainty Through Basic and Computational Neuroscience","Feeney EJ, Groman SM, Taylor JR, Corlett PR.","Schizophr Bull. 2017 Mar 1;43(2):263-272. doi: 10.1093/schbul/sbw194.","Feeney EJ","Schizophr Bull","2017","2017/02/09","PMC5605246","","10.1093/schbul/sbw194"
"30639671","Sensory Processing Sensitivity in the context of Environmental Sensitivity: A critical review and development of research agenda","Greven CU, Lionetti F, Booth C, Aron EN, Fox E, Schendan HE, Pluess M, Bruining H, Acevedo B, Bijttebier P, Homberg J.","Neurosci Biobehav Rev. 2019 Mar;98:287-305. doi: 10.1016/j.neubiorev.2019.01.009. Epub 2019 Jan 9.","Greven CU","Neurosci Biobehav Rev","2019","2019/01/15","","","10.1016/j.neubiorev.2019.01.009"
"30409385","Memories of and influenced by the Trier Social Stress Test","Wolf OT.","Psychoneuroendocrinology. 2019 Jul;105:98-104. doi: 10.1016/j.psyneuen.2018.10.031. Epub 2018 Oct 29.","Wolf OT","Psychoneuroendocrinology","2019","2018/11/10","","","10.1016/j.psyneuen.2018.10.031"
"29090682","A Novel Method for Chronic Social Defeat Stress in Female Mice","Harris AZ, Atsak P, Bretton ZH, Holt ES, Alam R, Morton MP, Abbas AI, Leonardo ED, Bolkan SS, Hen R, Gordon JA.","Neuropsychopharmacology. 2018 May;43(6):1276-1283. doi: 10.1038/npp.2017.259. Epub 2017 Nov 1.","Harris AZ","Neuropsychopharmacology","2018","2017/11/02","PMC5916350","","10.1038/npp.2017.259"
"26616296","Oxytocin and Social Adaptation: Insights from Neuroimaging Studies of Healthy and Clinical Populations","Ma Y, Shamay-Tsoory S, Han S, Zink CF.","Trends Cogn Sci. 2016 Feb;20(2):133-145. doi: 10.1016/j.tics.2015.10.009. Epub 2015 Nov 23.","Ma Y","Trends Cogn Sci","2016","2015/12/01","","","10.1016/j.tics.2015.10.009"
"31063743","Cannabidiol (CBD) reduces anxiety-related behavior in mice via an FMRP-independent mechanism","Zieba J, Sinclair D, Sebree T, Bonn-Miller M, Gutterman D, Siegel S, Karl T.","Pharmacol Biochem Behav. 2019 Jun;181:93-100. doi: 10.1016/j.pbb.2019.05.002. Epub 2019 May 4.","Zieba J","Pharmacol Biochem Behav","2019","2019/05/08","","","10.1016/j.pbb.2019.05.002"
"26798013","Oxytocin-dependent consolation behavior in rodents","Burkett JP, Andari E, Johnson ZV, Curry DC, de Waal FB, Young LJ.","Science. 2016 Jan 22;351(6271):375-8. doi: 10.1126/science.aac4785.","Burkett JP","Science","2016","2016/01/23","PMC4737486","NIHMS754439","10.1126/science.aac4785"
"32284832","Bumetanide Therapeutic Effect in Children and Adolescents With Autism Spectrum Disorder: A Review Study","Mollajani R, Joghataei MT, Tehrani-Doost M.","Basic Clin Neurosci. 2019 Sep-Oct;10(5):433-441. doi: 10.32598/bcn.9.10.380. Epub 2019 Sep 1.","Mollajani R","Basic Clin Neurosci","2019","2020/04/15","PMC7149950","","10.32598/bcn.9.10.380"
"30688022","Learning strategies and the social brain: Missing elements in the link between developmental stress, song and cognition?","Kriengwatana BP.","Integr Zool. 2019 Mar;14(2):158-171. doi: 10.1111/1749-4877.12379.","Kriengwatana BP","Integr Zool","2019","2019/01/29","","","10.1111/1749-4877.12379"
"30226467","Normal cognitive and social development require posterior cerebellar activity","Badura A, Verpeut JL, Metzger JW, Pereira TD, Pisano TJ, Deverett B, Bakshinskaya DE, Wang SS.","Elife. 2018 Sep 20;7:e36401. doi: 10.7554/eLife.36401.","Badura A","Elife","2018","2018/09/19","PMC6195348","","10.7554/eLife.36401"
"25619897","Rough-and-tumble play as a window on animal communication","Palagi E, Burghardt GM, Smuts B, Cordoni G, Dall'Olio S, Fouts HN, Řeháková-Petrů M, Siviy SM, Pellis SM.","Biol Rev Camb Philos Soc. 2016 May;91(2):311-27. doi: 10.1111/brv.12172. Epub 2015 Jan 25.","Palagi E","Biol Rev Camb Philos Soc","2016","2015/01/27","","","10.1111/brv.12172"
"29474958","Cognitive, emotional and social phenotyping of mice in an observer-independent setting","Dere E, Ronnenberg A, Tampe B, Arinrad S, Schmidt M, Zeisberg E, Ehrenreich H.","Neurobiol Learn Mem. 2018 Apr;150:136-150. doi: 10.1016/j.nlm.2018.02.023. Epub 2018 Feb 21.","Dere E","Neurobiol Learn Mem","2018","2018/02/24","","","10.1016/j.nlm.2018.02.023"
"31724729","Evolutionary modifications in human brain connectivity associated with schizophrenia","van den Heuvel MP, Scholtens LH, de Lange SC, Pijnenburg R, Cahn W, van Haren NEM, Sommer IE, Bozzali M, Koch K, Boks MP, Repple J, Pievani M, Li L, Preuss TM, Rilling JK.","Brain. 2019 Dec 1;142(12):3991-4002. doi: 10.1093/brain/awz330.","van den Heuvel MP","Brain","2019","2019/11/15","PMC6906591","","10.1093/brain/awz330"
"32208153","Social Neuroscience: Rats Can Be Considerate to Others","Scheggia D, Papaleo F.","Curr Biol. 2020 Mar 23;30(6):R274-R276. doi: 10.1016/j.cub.2020.01.093.","Scheggia D","Curr Biol","2020","2020/03/26","","","10.1016/j.cub.2020.01.093"
"31178317","Oxytocin Signaling in the Central Amygdala Modulates Emotion Discrimination in Mice","Ferretti V, Maltese F, Contarini G, Nigro M, Bonavia A, Huang H, Gigliucci V, Morelli G, Scheggia D, Managò F, Castellani G, Lefevre A, Cancedda L, Chini B, Grinevich V, Papaleo F.","Curr Biol. 2019 Jun 17;29(12):1938-1953.e6. doi: 10.1016/j.cub.2019.04.070. Epub 2019 Jun 6.","Ferretti V","Curr Biol","2019","2019/06/11","","","10.1016/j.cub.2019.04.070"
"28934193","Oxidative stress, prefrontal cortex hypomyelination and cognitive symptoms in schizophrenia","Maas DA, Vallès A, Martens GJM.","Transl Psychiatry. 2017 Jul 18;7(7):e1171. doi: 10.1038/tp.2017.138.","Maas DA","Transl Psychiatry","2017","2017/09/22","PMC5538118","","10.1038/tp.2017.138"
"31405928","Negative Memory Engrams in the Hippocampus Enhance the Susceptibility to Chronic Social Defeat Stress","Zhang TR, Larosa A, Di Raddo ME, Wong V, Wong AS, Wong TP.","J Neurosci. 2019 Sep 18;39(38):7576-7590. doi: 10.1523/JNEUROSCI.1958-18.2019. Epub 2019 Aug 12.","Zhang TR","J Neurosci","2019","2019/08/14","PMC6750945","","10.1523/JNEUROSCI.1958-18.2019"
"29353573","Sleep to be social: The critical role of sleep and memory for social interaction","Diekelmann S, Paulus FM, Krach S.","Behav Brain Sci. 2018 Jan;41:e10. doi: 10.1017/S0140525X17001327.","Diekelmann S","Behav Brain Sci","2018","2018/01/23","","","10.1017/S0140525X17001327"
"31844317","Somatostatin interneurons in the prefrontal cortex control affective state discrimination in mice","Scheggia D, Managò F, Maltese F, Bruni S, Nigro M, Dautan D, Latuske P, Contarini G, Gomez-Gonzalo M, Requie LM, Ferretti V, Castellani G, Mauro D, Bonavia A, Carmignoto G, Yizhar O, Papaleo F.","Nat Neurosci. 2020 Jan;23(1):47-60. doi: 10.1038/s41593-019-0551-8. Epub 2019 Dec 16.","Scheggia D","Nat Neurosci","2020","2019/12/18","","","10.1038/s41593-019-0551-8"
"27640756","Reconciling cognitive and affective neuroscience perspectives on the brain basis of emotional experience","Panksepp J, Lane RD, Solms M, Smith R.","Neurosci Biobehav Rev. 2017 May;76(Pt B):187-215. doi: 10.1016/j.neubiorev.2016.09.010. Epub 2016 Sep 15.","Panksepp J","Neurosci Biobehav Rev","2017","2016/09/20","","","10.1016/j.neubiorev.2016.09.010"
"27540359","Mouse Social Network Dynamics and Community Structure are Associated with Plasticity-Related Brain Gene Expression","Williamson CM, Franks B, Curley JP.","Front Behav Neurosci. 2016 Aug 4;10:152. doi: 10.3389/fnbeh.2016.00152. eCollection 2016.","Williamson CM","Front Behav Neurosci","2016","2016/08/20","PMC4972826","","10.3389/fnbeh.2016.00152"
"29681845","Editorial: Human and Animal Models for Translational Research on Neurodegeneration: Challenges and Opportunities From South America","Ibáñez A, Sedeño L, García AM, Deacon RMJ, Cogram P.","Front Aging Neurosci. 2018 Apr 6;10:95. doi: 10.3389/fnagi.2018.00095. eCollection 2018.","Ibáñez A","Front Aging Neurosci","2018","2018/04/24","PMC5897422","","10.3389/fnagi.2018.00095"
"30359610","Navigating Social Space","Schafer M, Schiller D.","Neuron. 2018 Oct 24;100(2):476-489. doi: 10.1016/j.neuron.2018.10.006.","Schafer M","Neuron","2018","2018/10/26","PMC6226014","NIHMS1509135","10.1016/j.neuron.2018.10.006"
"29851228","Evolutionary diversity as a catalyst for biological discovery","Johnson ZV, Young LJ.","Integr Zool. 2018 Nov;13(6):616-633. doi: 10.1111/1749-4877.12339.","Johnson ZV","Integr Zool","2018","2018/06/01","PMC6265060","NIHMS994809","10.1111/1749-4877.12339"
"27696337","The Psycho-Neurology of Cross-Species Affective/Social Neuroscience: Understanding Animal Affective States as a Guide to Development of Novel Psychiatric Treatments","Panksepp J.","Curr Top Behav Neurosci. 2017;30:109-125. doi: 10.1007/7854_2016_458.","Panksepp J","Curr Top Behav Neurosci","2017","2016/10/04","","","10.1007/7854_2016_458"
"27226305","Monkey neurophysiology to clinical neuroscience and back again","Basso MA.","Proc Natl Acad Sci U S A. 2016 Jun 14;113(24):6591-3. doi: 10.1073/pnas.1606344113. Epub 2016 May 25.","Basso MA","Proc Natl Acad Sci U S A","2016","2016/05/27","PMC4914156","","10.1073/pnas.1606344113"
"26687841","Mice with Shank3 Mutations Associated with ASD and Schizophrenia Display Both Shared and Distinct Defects","Zhou Y, Kaiser T, Monteiro P, Zhang X, Van der Goes MS, Wang D, Barak B, Zeng M, Li C, Lu C, Wells M, Amaya A, Nguyen S, Lewis M, Sanjana N, Zhou Y, Zhang M, Zhang F, Fu Z, Feng G.","Neuron. 2016 Jan 6;89(1):147-62. doi: 10.1016/j.neuron.2015.11.023. Epub 2015 Dec 10.","Zhou Y","Neuron","2016","2015/12/22","PMC4754122","NIHMS745296","10.1016/j.neuron.2015.11.023"
"30807837","Impaired social behaviour and molecular mediators of associated neural circuits during chronic Toxoplasma gondii infection in female mice","Tyebji S, Seizova S, Garnham AL, Hannan AJ, Tonkin CJ.","Brain Behav Immun. 2019 Aug;80:88-108. doi: 10.1016/j.bbi.2019.02.028. Epub 2019 Feb 23.","Tyebji S","Brain Behav Immun","2019","2019/02/27","","","10.1016/j.bbi.2019.02.028"
"26111342","Functional relations and cognitive psychology: Lessons from human performance and animal research","Proctor RW, Urcuioli PJ.","Int J Psychol. 2016 Feb;51(1):58-63. doi: 10.1002/ijop.12182. Epub 2015 Jun 24.","Proctor RW","Int J Psychol","2016","2015/06/26","","","10.1002/ijop.12182"
"33490903","Are friends electric? The benefits and risks of human-robot relationships","Prescott TJ, Robillard JM.","iScience. 2020 Dec 26;24(1):101993. doi: 10.1016/j.isci.2020.101993. eCollection 2021 Jan 22.","Prescott TJ","iScience","2020","2021/01/25","PMC7809509","","10.1016/j.isci.2020.101993"
"28043908","Cognitive neuroscience and developmental neurotoxicity testing","Golub MS.","Neurotoxicol Teratol. 2017 May;61:134. doi: 10.1016/j.ntt.2016.12.002. Epub 2016 Dec 30.","Golub MS","Neurotoxicol Teratol","2017","2017/01/04","","","10.1016/j.ntt.2016.12.002"
"27393254","Understanding intentional actions from observers' viewpoints: A social neuroscience perspective","Isoda M.","Neurosci Res. 2016 Nov;112:1-9. doi: 10.1016/j.neures.2016.06.008. Epub 2016 Jul 5.","Isoda M","Neurosci Res","2016","2016/07/10","","","10.1016/j.neures.2016.06.008"
"32362399","Social Cognition in the Age of Human-Robot Interaction","Henschel A, Hortensius R, Cross ES.","Trends Neurosci. 2020 Jun;43(6):373-384. doi: 10.1016/j.tins.2020.03.013. Epub 2020 Apr 30.","Henschel A","Trends Neurosci","2020","2020/05/05","","","10.1016/j.tins.2020.03.013"
"32320813","Perinatal selective serotonin reuptake inhibitor exposure and behavioral outcomes: A systematic review and meta-analyses of animal studies","Ramsteijn AS, Van de Wijer L, Rando J, van Luijk J, Homberg JR, Olivier JDA.","Neurosci Biobehav Rev. 2020 Jul;114:53-69. doi: 10.1016/j.neubiorev.2020.04.010. Epub 2020 Apr 19.","Ramsteijn AS","Neurosci Biobehav Rev","2020","2020/04/23","","","10.1016/j.neubiorev.2020.04.010"
"28057516","Social motivation and conflict resolution tactics as potential building blocks of sociality in cichlid fishes","Balshine S, Wong MYL, Reddon AR.","Behav Processes. 2017 Aug;141(Pt 2):152-160. doi: 10.1016/j.beproc.2017.01.001. Epub 2017 Jan 3.","Balshine S","Behav Processes","2017","2017/01/07","","","10.1016/j.beproc.2017.01.001"
"29694921","Socio-sexual processing in cortical circuits","Brecht M, Lenschow C, Rao RP.","Curr Opin Neurobiol. 2018 Oct;52:1-9. doi: 10.1016/j.conb.2018.04.003. Epub 2018 Apr 23.","Brecht M","Curr Opin Neurobiol","2018","2018/04/26","","","10.1016/j.conb.2018.04.003"
"29352037","Preface","Frith U.","Philos Trans R Soc Lond B Biol Sci. 2018 Mar 19;373(1742):20170361. doi: 10.1098/rstb.2017.0361.","Frith U","Philos Trans R Soc Lond B Biol Sci","2018","2018/01/21","PMC5790836","","10.1098/rstb.2017.0361"
"27132137","Effects of Different Social and Environmental Conditions on Established Dominance Relationships in Crayfish","Herberholz J, Swierzbinski ME, Birke JM.","Biol Bull. 2016 Apr;230(2):152-64. doi: 10.1086/BBLv230n2p152.","Herberholz J","Biol Bull","2016","2016/05/02","","","10.1086/BBLv230n2p152"
