PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32440793","Claw-in-the-door: pigeons, like humans, display the foot-in-the-door effect","Bartonicek A, Colombo M.","Anim Cogn. 2020 Sep;23(5):893-900. doi: 10.1007/s10071-020-01395-y. Epub 2020 May 21.","Bartonicek A","Anim Cogn","2020","2020/05/23","","","10.1007/s10071-020-01395-y"
"31264123","Positional encoding in cotton-top tamarins (Saguinus oedipus)","Versace E, Rogge JR, Shelton-May N, Ravignani A.","Anim Cogn. 2019 Sep;22(5):825-838. doi: 10.1007/s10071-019-01277-y. Epub 2019 Jul 1.","Versace E","Anim Cogn","2019","2019/07/03","PMC6687687","","10.1007/s10071-019-01277-y"
"30852737","Topological spatial representation in wild chacma baboons (Papio ursinus)","de Raad AL, Hill RA.","Anim Cogn. 2019 May;22(3):397-412. doi: 10.1007/s10071-019-01253-6. Epub 2019 Mar 9.","de Raad AL","Anim Cogn","2019","2019/03/11","PMC6459790","","10.1007/s10071-019-01253-6"
"33090295","Do wild raccoons (Procyon lotor) use tools?","Morton FB.","Anim Cogn. 2020 Oct 22. doi: 10.1007/s10071-020-01430-y. Online ahead of print.","Morton FB","Anim Cogn","2020","2020/10/22","","","10.1007/s10071-020-01430-y"
"31897795","Everything is subjective under water surface, too: visual illusions in fish","Agrillo C, Santacà M, Pecunioso A, Miletto Petrazzini ME.","Anim Cogn. 2020 Mar;23(2):251-264. doi: 10.1007/s10071-019-01341-7. Epub 2020 Jan 2.","Agrillo C","Anim Cogn","2020","2020/01/04","","","10.1007/s10071-019-01341-7"
"31321621","Perception of Ebbinghaus-Titchener stimuli in starlings (Sturnus vulgaris)","Qadri MAJ, Cook RG.","Anim Cogn. 2019 Nov;22(6):973-989. doi: 10.1007/s10071-019-01289-8. Epub 2019 Jul 18.","Qadri MAJ","Anim Cogn","2019","2019/07/20","","","10.1007/s10071-019-01289-8"
"31049725","Discrimination learning and judgment bias in low birth weight pigs","Roelofs S, Alferink FAC, Ipema AF, van de Pas T, van der Staay FJ, Nordquist RE.","Anim Cogn. 2019 Sep;22(5):657-671. doi: 10.1007/s10071-019-01262-5. Epub 2019 May 3.","Roelofs S","Anim Cogn","2019","2019/05/04","PMC6687882","","10.1007/s10071-019-01262-5"
"32638171","Investigation of cognitive mechanisms and strategy on solving multiple string-pulling problems in Azure-winged magpie (Cyanopica cyanus)","Wang L, Zhang D, Sui J.","Anim Cogn. 2021 Jan;24(1):1-10. doi: 10.1007/s10071-020-01413-z. Epub 2020 Jul 7.","Wang L","Anim Cogn","2021","2020/07/09","","","10.1007/s10071-020-01413-z"
"32253517","Food quantity discrimination in puppies (Canis lupus familiaris)","Miletto Petrazzini ME, Mantese F, Prato-Previde E.","Anim Cogn. 2020 Jul;23(4):703-710. doi: 10.1007/s10071-020-01378-z. Epub 2020 Apr 6.","Miletto Petrazzini ME","Anim Cogn","2020","2020/04/08","","","10.1007/s10071-020-01378-z"
"31781884","Object categorization by wild-ranging birds in nest defence","Nováková N, Veselý P, Fuchs R.","Anim Cogn. 2020 Jan;23(1):203-213. doi: 10.1007/s10071-019-01329-3. Epub 2019 Nov 28.","Nováková N","Anim Cogn","2020","2019/11/30","","","10.1007/s10071-019-01329-3"
"31605247","Leveraging brain-body scaling relationships for comparative studies","Horschler DJ, MacLean EL.","Anim Cogn. 2019 Nov;22(6):1197-1202. doi: 10.1007/s10071-019-01316-8. Epub 2019 Oct 11.","Horschler DJ","Anim Cogn","2019","2019/10/13","","","10.1007/s10071-019-01316-8"
"31832796","That dog won't fit: body size awareness in dogs","Lenkei R, Faragó T, Kovács D, Zsilák B, Pongrácz P.","Anim Cogn. 2020 Mar;23(2):337-350. doi: 10.1007/s10071-019-01337-3. Epub 2019 Dec 12.","Lenkei R","Anim Cogn","2020","2019/12/14","PMC7018780","","10.1007/s10071-019-01337-3"
"27988823","Social spatial cognition in rat tetrads: how they select their partners and their gathering places","Weiss O, Segev E, Eilam D.","Anim Cogn. 2017 May;20(3):409-418. doi: 10.1007/s10071-016-1063-5. Epub 2016 Dec 17.","Weiss O","Anim Cogn","2017","2016/12/19","","","10.1007/s10071-016-1063-5"
"31863257","Socially tolerant lions (Panthera leo) solve a novel cooperative problem","Borrego N.","Anim Cogn. 2020 Mar;23(2):327-336. doi: 10.1007/s10071-019-01336-4. Epub 2019 Dec 20.","Borrego N","Anim Cogn","2020","2019/12/22","","","10.1007/s10071-019-01336-4"
"29796720","Social information in equine movement gestalts","Dahl CD, Wyss C, Zuberbühler K, Bachmann I.","Anim Cogn. 2018 Jul;21(4):583-594. doi: 10.1007/s10071-018-1193-z. Epub 2018 May 23.","Dahl CD","Anim Cogn","2018","2018/05/26","","","10.1007/s10071-018-1193-z"
"30778801","Scent marks of rodents can provide information to conspecifics","Ferkin MH.","Anim Cogn. 2019 May;22(3):445-452. doi: 10.1007/s10071-019-01250-9. Epub 2019 Feb 18.","Ferkin MH","Anim Cogn","2019","2019/02/20","","","10.1007/s10071-019-01250-9"
"32388782","Post-event misinformation effects in a language-trained chimpanzee (Pan troglodytes)","James BT, Webster MF, Menzel CR, Whitham W, Beran MJ.","Anim Cogn. 2020 Sep;23(5):861-869. doi: 10.1007/s10071-020-01391-2. Epub 2020 May 9.","James BT","Anim Cogn","2020","2020/05/11","","","10.1007/s10071-020-01391-2"
"30848385","Guppies, Poecilia reticulata, perceive a reversed Delboeuf illusion","Lucon-Xiccato T, Santacà M, Miletto Petrazzini ME, Agrillo C, Dadda M.","Anim Cogn. 2019 May;22(3):291-303. doi: 10.1007/s10071-019-01237-6. Epub 2019 Mar 8.","Lucon-Xiccato T","Anim Cogn","2019","2019/03/09","","","10.1007/s10071-019-01237-6"
"31630346","Picture recognition of food by sloth bears (Melursus ursinus)","Tabellario S, Babitz MA, Bauer EB, Brown-Palsgrove M.","Anim Cogn. 2020 Jan;23(1):227-231. doi: 10.1007/s10071-019-01314-w. Epub 2019 Oct 19.","Tabellario S","Anim Cogn","2020","2019/10/21","","","10.1007/s10071-019-01314-w"
"31781885","Gibbons exploit information about what a competitor can see","Sánchez-Amaro A, Tan J, Kaufhold SP, Rossano F.","Anim Cogn. 2020 Mar;23(2):289-299. doi: 10.1007/s10071-019-01333-7. Epub 2019 Nov 28.","Sánchez-Amaro A","Anim Cogn","2020","2019/11/30","","","10.1007/s10071-019-01333-7"
"31385068","A wolfdog point of view on the impossible task paradigm","Sommese A, Nováková K, Šebková NF, Bartoš L.","Anim Cogn. 2019 Nov;22(6):1073-1083. doi: 10.1007/s10071-019-01298-7. Epub 2019 Aug 5.","Sommese A","Anim Cogn","2019","2019/08/07","","","10.1007/s10071-019-01298-7"
"30767145","Social learning about construction behaviour via an artefact","Breen AJ, Bonneaud CC, Healy SD, Guillette LM.","Anim Cogn. 2019 May;22(3):305-315. doi: 10.1007/s10071-019-01240-x. Epub 2019 Feb 14.","Breen AJ","Anim Cogn","2019","2019/02/16","PMC6507502","","10.1007/s10071-019-01240-x"
"31630345","Serial reversal learning in freshwater stingrays (Potamotrygon motoro)","Daniel MMM, Schluessel V.","Anim Cogn. 2020 Jan;23(1):109-119. doi: 10.1007/s10071-019-01321-x. Epub 2019 Oct 19.","Daniel MMM","Anim Cogn","2020","2019/10/21","","","10.1007/s10071-019-01321-x"
"31278622","Developmental perspectives on primate gesture: 100 years in the making","Cartmill EA, Hobaiter C.","Anim Cogn. 2019 Jul;22(4):453-459. doi: 10.1007/s10071-019-01279-w.","Cartmill EA","Anim Cogn","2019","2019/07/07","","","10.1007/s10071-019-01279-w"
"31115791","Sharing playful mood: rapid facial mimicry in Suricata suricatta","Palagi E, Marchi E, Cavicchio P, Bandoli F.","Anim Cogn. 2019 Sep;22(5):719-732. doi: 10.1007/s10071-019-01269-y. Epub 2019 May 21.","Palagi E","Anim Cogn","2019","2019/05/23","","","10.1007/s10071-019-01269-y"
"32107658","Acoustic discrimination of predators by black-capped chickadees (Poecile atricapillus)","Congdon JV, Hahn AH, Campbell KA, Scully EN, Yip DA, Bayne EM, Sturdy CB.","Anim Cogn. 2020 May;23(3):595-611. doi: 10.1007/s10071-020-01364-5. Epub 2020 Feb 27.","Congdon JV","Anim Cogn","2020","2020/02/29","","","10.1007/s10071-020-01364-5"
"31338606","Pair foraging degrades socially transmitted food preferences in rats","Damphousse CC, Marrone DF, Miller N.","Anim Cogn. 2019 Nov;22(6):1027-1037. doi: 10.1007/s10071-019-01294-x. Epub 2019 Jul 23.","Damphousse CC","Anim Cogn","2019","2019/07/25","","","10.1007/s10071-019-01294-x"
"30788671","Influence of theatre hall layout on actors' and spectators' emotions","Lemasson A, André V, Boudard M, Lippi D, Cousillas H, Hausberger M.","Anim Cogn. 2019 May;22(3):365-372. doi: 10.1007/s10071-019-01249-2. Epub 2019 Feb 20.","Lemasson A","Anim Cogn","2019","2019/02/22","","","10.1007/s10071-019-01249-2"
"32440792","The relationship between monoaminergic gene expression, learning, and optimism in red junglefowl chicks","Boddington R, Gómez Dunlop CA, Garnham LC, Ryding S, Abbey-Lee RN, Kreshchenko A, Løvlie H.","Anim Cogn. 2020 Sep;23(5):901-911. doi: 10.1007/s10071-020-01394-z. Epub 2020 May 21.","Boddington R","Anim Cogn","2020","2020/05/23","PMC7415762","","10.1007/s10071-020-01394-z"
"32451634","Multimodal signaling in the visuo-acoustic mismatch paradigm: similarities between dogs and children in the communicative approach","Scandurra A, Pinelli C, Fierro B, Di Cosmo A, D'Aniello B.","Anim Cogn. 2020 Sep;23(5):833-841. doi: 10.1007/s10071-020-01398-9. Epub 2020 May 26.","Scandurra A","Anim Cogn","2020","2020/05/27","","","10.1007/s10071-020-01398-9"
"33185769","Adaptive spatial working memory assessments for aging pet dogs","Van Bourg J, Gilchrist R, Wynne CDL.","Anim Cogn. 2020 Nov 13. doi: 10.1007/s10071-020-01447-3. Online ahead of print.","Van Bourg J","Anim Cogn","2020","2020/11/13","","","10.1007/s10071-020-01447-3"
"32514661","Predictors of individual variation in reversal learning performance in three-spined sticklebacks","Bensky MK, Bell AM.","Anim Cogn. 2020 Sep;23(5):925-938. doi: 10.1007/s10071-020-01399-8. Epub 2020 Jun 8.","Bensky MK","Anim Cogn","2020","2020/06/10","","","10.1007/s10071-020-01399-8"
"29468285","Thirty years of great ape gestures","Tomasello M, Call J.","Anim Cogn. 2019 Jul;22(4):461-469. doi: 10.1007/s10071-018-1167-1. Epub 2018 Feb 21.","Tomasello M","Anim Cogn","2019","2018/02/23","PMC6647417","","10.1007/s10071-018-1167-1"
"30848384","The cocktail party effect in the domestic dog (Canis familiaris)","Mallikarjun A, Shroads E, Newman RS.","Anim Cogn. 2019 May;22(3):423-432. doi: 10.1007/s10071-019-01255-4. Epub 2019 Mar 8.","Mallikarjun A","Anim Cogn","2019","2019/03/09","","","10.1007/s10071-019-01255-4"
"33231749","Variation in reversal learning by three generalist mesocarnivores","Stanton LA, Bridge ES, Huizinga J, Johnson SR, Young JK, Benson-Amram S.","Anim Cogn. 2020 Nov 24. doi: 10.1007/s10071-020-01438-4. Online ahead of print.","Stanton LA","Anim Cogn","2020","2020/11/24","","","10.1007/s10071-020-01438-4"
"31760558","Problem-solving in a cooperative task in peach-fronted conures (Eupsittula aurea)","Torres Ortiz S, Corregidor Castro A, Balsby TJS, Larsen ON.","Anim Cogn. 2020 Mar;23(2):265-275. doi: 10.1007/s10071-019-01331-9. Epub 2019 Nov 23.","Torres Ortiz S","Anim Cogn","2020","2019/11/25","","","10.1007/s10071-019-01331-9"
"31593371","Expanding and Repositioning Cognitive Science","Rosenbloom PS, Forbus KD.","Top Cogn Sci. 2019 Oct;11(4):918-927. doi: 10.1111/tops.12468. Epub 2019 Oct 8.","Rosenbloom PS","Top Cogn Sci","2019","2019/10/09","","","10.1111/tops.12468"
"31605248","Gestural communication in olive baboons (Papio anubis): repertoire and intentionality","Molesti S, Meguerditchian A, Bourjade M.","Anim Cogn. 2020 Jan;23(1):19-40. doi: 10.1007/s10071-019-01312-y. Epub 2019 Oct 12.","Molesti S","Anim Cogn","2020","2019/10/13","","","10.1007/s10071-019-01312-y"
"31531748","How do horses (Equus caballus) learn from observing human action?","Bernauer K, Kollross H, Schuetz A, Farmer K, Krueger K.","Anim Cogn. 2020 Jan;23(1):1-9. doi: 10.1007/s10071-019-01310-0. Epub 2019 Sep 17.","Bernauer K","Anim Cogn","2020","2019/09/19","","","10.1007/s10071-019-01310-0"
