PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28230072","Improved Social Interaction, Recognition and Working Memory with Cannabidiol Treatment in a Prenatal Infection (poly I:C) Rat Model","Osborne AL, Solowij N, Babic I, Huang XF, Weston-Green K.","Neuropsychopharmacology. 2017 Jun;42(7):1447-1457. doi: 10.1038/npp.2017.40. Epub 2017 Feb 23.","Osborne AL","Neuropsychopharmacology","2017","2017/02/24","PMC5436124","","10.1038/npp.2017.40"
"26808898","Autism-like behaviours and germline transmission in transgenic monkeys overexpressing MeCP2","Liu Z, Li X, Zhang JT, Cai YJ, Cheng TL, Cheng C, Wang Y, Zhang CC, Nie YH, Chen ZF, Bian WJ, Zhang L, Xiao J, Lu B, Zhang YF, Zhang XD, Sang X, Wu JJ, Xu X, Xiong ZQ, Zhang F, Yu X, Gong N, Zhou WH, Sun Q, Qiu Z.","Nature. 2016 Feb 4;530(7588):98-102. doi: 10.1038/nature16533. Epub 2016 Jan 25.","Liu Z","Nature","2016","2016/01/26","","","10.1038/nature16533"
"31010921","Preventing adolescent stress-induced cognitive and microbiome changes by diet","Provensi G, Schmidt SD, Boehme M, Bastiaanssen TFS, Rani B, Costa A, Busca K, Fouhy F, Strain C, Stanton C, Blandina P, Izquierdo I, Cryan JF, Passani MB.","Proc Natl Acad Sci U S A. 2019 May 7;116(19):9644-9651. doi: 10.1073/pnas.1820832116. Epub 2019 Apr 22.","Provensi G","Proc Natl Acad Sci U S A","2019","2019/04/24","PMC6511019","","10.1073/pnas.1820832116"
"29184203","Arid1b haploinsufficiency disrupts cortical interneuron development and mouse behavior","Jung EM, Moffat JJ, Liu J, Dravid SM, Gurumurthy CB, Kim WY.","Nat Neurosci. 2017 Dec;20(12):1694-1707. doi: 10.1038/s41593-017-0013-0. Epub 2017 Nov 6.","Jung EM","Nat Neurosci","2017","2017/11/30","PMC5726525","NIHMS908509","10.1038/s41593-017-0013-0"
"30688022","Learning strategies and the social brain: Missing elements in the link between developmental stress, song and cognition?","Kriengwatana BP.","Integr Zool. 2019 Mar;14(2):158-171. doi: 10.1111/1749-4877.12379.","Kriengwatana BP","Integr Zool","2019","2019/01/29","","","10.1111/1749-4877.12379"
"26965573","Altered social cognition in male BDNF heterozygous mice and following chronic methamphetamine exposure","Manning EE, van den Buuse M.","Behav Brain Res. 2016 May 15;305:181-5. doi: 10.1016/j.bbr.2016.03.014. Epub 2016 Mar 8.","Manning EE","Behav Brain Res","2016","2016/03/12","","","10.1016/j.bbr.2016.03.014"
"29642011","RNA-Dependent Intergenerational Inheritance of Enhanced Synaptic Plasticity after Environmental Enrichment","Benito E, Kerimoglu C, Ramachandran B, Pena-Centeno T, Jain G, Stilling RM, Islam MR, Capece V, Zhou Q, Edbauer D, Dean C, Fischer A.","Cell Rep. 2018 Apr 10;23(2):546-554. doi: 10.1016/j.celrep.2018.03.059.","Benito E","Cell Rep","2018","2018/04/12","PMC5912949","","10.1016/j.celrep.2018.03.059"
"30639671","Sensory Processing Sensitivity in the context of Environmental Sensitivity: A critical review and development of research agenda","Greven CU, Lionetti F, Booth C, Aron EN, Fox E, Schendan HE, Pluess M, Bruining H, Acevedo B, Bijttebier P, Homberg J.","Neurosci Biobehav Rev. 2019 Mar;98:287-305. doi: 10.1016/j.neubiorev.2019.01.009. Epub 2019 Jan 9.","Greven CU","Neurosci Biobehav Rev","2019","2019/01/15","","","10.1016/j.neubiorev.2019.01.009"
"30236964","Dissociated features of social cognition altered in mouse models of schizophrenia: Focus on social dominance and acoustic communication","Faure A, Nosjean A, Pittaras E, Duchêne A, Andrieux A, Gory-Fauré S, Charvériat M, Granon S.","Neuropharmacology. 2019 Nov 15;159:107334. doi: 10.1016/j.neuropharm.2018.09.009. Epub 2018 Sep 17.","Faure A","Neuropharmacology","2019","2018/09/22","","","10.1016/j.neuropharm.2018.09.009"
"28159610","Brain imaging genetics in ADHD and beyond - Mapping pathways from gene to disorder at different levels of complexity","Klein M, Onnink M, van Donkelaar M, Wolfers T, Harich B, Shi Y, Dammers J, Arias-Vásquez A, Hoogman M, Franke B.","Neurosci Biobehav Rev. 2017 Sep;80:115-155. doi: 10.1016/j.neubiorev.2017.01.013. Epub 2017 Jan 31.","Klein M","Neurosci Biobehav Rev","2017","2017/02/05","PMC6947924","NIHMS882132","10.1016/j.neubiorev.2017.01.013"
"31063743","Cannabidiol (CBD) reduces anxiety-related behavior in mice via an FMRP-independent mechanism","Zieba J, Sinclair D, Sebree T, Bonn-Miller M, Gutterman D, Siegel S, Karl T.","Pharmacol Biochem Behav. 2019 Jun;181:93-100. doi: 10.1016/j.pbb.2019.05.002. Epub 2019 May 4.","Zieba J","Pharmacol Biochem Behav","2019","2019/05/08","","","10.1016/j.pbb.2019.05.002"
"30654135","Cognitive enhancers as a treatment for heroin relapse and addiction","Ma B, Mei D, Wang F, Liu Y, Zhou W.","Pharmacol Res. 2019 Mar;141:378-383. doi: 10.1016/j.phrs.2019.01.025. Epub 2019 Jan 14.","Ma B","Pharmacol Res","2019","2019/01/18","","","10.1016/j.phrs.2019.01.025"
"29523857","Physical Exercise and Spatial Training: A Longitudinal Study of Effects on Cognition, Growth Factors, and Hippocampal Plasticity","Woost L, Bazin PL, Taubert M, Trampel R, Tardif CL, Garthe A, Kempermann G, Renner U, Stalla G, Ott DVM, Rjosk V, Obrig H, Villringer A, Roggenhofer E, Klein TA.","Sci Rep. 2018 Mar 9;8(1):4239. doi: 10.1038/s41598-018-19993-9.","Woost L","Sci Rep","2018","2018/03/11","PMC5844866","","10.1038/s41598-018-19993-9"
"31780961","Vortioxetine for Cognitive Enhancement in Major Depression: From Animal Models to Clinical Research","Bennabi D, Haffen E, Van Waes V.","Front Psychiatry. 2019 Nov 6;10:771. doi: 10.3389/fpsyt.2019.00771. eCollection 2019.","Bennabi D","Front Psychiatry","2019","2019/11/30","PMC6851880","","10.3389/fpsyt.2019.00771"
"29090682","A Novel Method for Chronic Social Defeat Stress in Female Mice","Harris AZ, Atsak P, Bretton ZH, Holt ES, Alam R, Morton MP, Abbas AI, Leonardo ED, Bolkan SS, Hen R, Gordon JA.","Neuropsychopharmacology. 2018 May;43(6):1276-1283. doi: 10.1038/npp.2017.259. Epub 2017 Nov 1.","Harris AZ","Neuropsychopharmacology","2018","2017/11/02","PMC5916350","","10.1038/npp.2017.259"
"32931805","Psychological mechanisms and functions of 5-HT and SSRIs in potential therapeutic change: Lessons from the serotonergic modulation of action selection, learning, affect, and social cognition","Roberts C, Sahakian BJ, Robbins TW.","Neurosci Biobehav Rev. 2020 Dec;119:138-167. doi: 10.1016/j.neubiorev.2020.09.001. Epub 2020 Sep 12.","Roberts C","Neurosci Biobehav Rev","2020","2020/09/15","","","10.1016/j.neubiorev.2020.09.001"
"26132842","Differential effects of social and physical environmental enrichment on brain plasticity, cognition, and ultrasonic communication in rats","Brenes JC, Lackinger M, Höglinger GU, Schratt G, Schwarting RK, Wöhr M.","J Comp Neurol. 2016 Jun 1;524(8):1586-607. doi: 10.1002/cne.23842. Epub 2015 Aug 10.","Brenes JC","J Comp Neurol","2016","2015/07/02","","","10.1002/cne.23842"
"29355335","The neuroscience of cognitive-motivational styles: Sign- and goal-trackers as animal models","Sarter M, Phillips KB.","Behav Neurosci. 2018 Feb;132(1):1-12. doi: 10.1037/bne0000226. Epub 2018 Jan 22.","Sarter M","Behav Neurosci","2018","2018/01/23","PMC5881169","NIHMS952980","10.1037/bne0000226"
"32362399","Social Cognition in the Age of Human-Robot Interaction","Henschel A, Hortensius R, Cross ES.","Trends Neurosci. 2020 Jun;43(6):373-384. doi: 10.1016/j.tins.2020.03.013. Epub 2020 Apr 30.","Henschel A","Trends Neurosci","2020","2020/05/05","","","10.1016/j.tins.2020.03.013"
"26911959","Cognition and the evolution of camouflage","Skelhorn J, Rowe C.","Proc Biol Sci. 2016 Feb 24;283(1825):20152890. doi: 10.1098/rspb.2015.2890.","Skelhorn J","Proc Biol Sci","2016","2016/02/26","PMC4810834","","10.1098/rspb.2015.2890"
"27423492","Omega-3 polyunsaturated fatty acids critically regulate behaviour and gut microbiota development in adolescence and adulthood","Robertson RC, Seira Oriach C, Murphy K, Moloney GM, Cryan JF, Dinan TG, Paul Ross R, Stanton C.","Brain Behav Immun. 2017 Jan;59:21-37. doi: 10.1016/j.bbi.2016.07.145. Epub 2016 Jul 14.","Robertson RC","Brain Behav Immun","2017","2016/07/18","","","10.1016/j.bbi.2016.07.145"
"33090847","Comparative cognition and cognitive ecology in the classroom","Lamontagne SJ, Kuhlmeier VA, Olmstead MC.","Can J Exp Psychol. 2020 Sep;74(3):176-182. doi: 10.1037/cep0000213.","Lamontagne SJ","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000213"
"28322275","Oxidative stress-driven parvalbumin interneuron impairment as a common mechanism in models of schizophrenia","Steullet P, Cabungcal JH, Coyle J, Didriksen M, Gill K, Grace AA, Hensch TK, LaMantia AS, Lindemann L, Maynard TM, Meyer U, Morishita H, O'Donnell P, Puhl M, Cuenod M, Do KQ.","Mol Psychiatry. 2017 Jul;22(7):936-943. doi: 10.1038/mp.2017.47. Epub 2017 Mar 21.","Steullet P","Mol Psychiatry","2017","2017/03/22","PMC5491690","","10.1038/mp.2017.47"
"27283753","Brain and behaviour phenotyping of a mouse model of neurofibromatosis type-1: an MRI/DTI study on social cognition","Petrella LI, Cai Y, Sereno JV, Gonçalves SI, Silva AJ, Castelo-Branco M.","Genes Brain Behav. 2016 Sep;15(7):637-46. doi: 10.1111/gbb.12305. Epub 2016 Jul 5.","Petrella LI","Genes Brain Behav","2016","2016/06/11","PMC5603718","NIHMS899787","10.1111/gbb.12305"
"27909646","The Neural Mechanisms of Meditative Practices: Novel Approaches for Healthy Aging","Acevedo BP, Pospos S, Lavretsky H.","Curr Behav Neurosci Rep. 2016;3(4):328-339. doi: 10.1007/s40473-016-0098-x. Epub 2016 Oct 18.","Acevedo BP","Curr Behav Neurosci Rep","2016","2016/12/03","PMC5110576","","10.1007/s40473-016-0098-x"
"29851228","Evolutionary diversity as a catalyst for biological discovery","Johnson ZV, Young LJ.","Integr Zool. 2018 Nov;13(6):616-633. doi: 10.1111/1749-4877.12339.","Johnson ZV","Integr Zool","2018","2018/06/01","PMC6265060","NIHMS994809","10.1111/1749-4877.12339"
"26432045","Eating with our eyes: From visual hunger to digital satiation","Spence C, Okajima K, Cheok AD, Petit O, Michel C.","Brain Cogn. 2016 Dec;110:53-63. doi: 10.1016/j.bandc.2015.08.006. Epub 2015 Oct 1.","Spence C","Brain Cogn","2016","2015/10/04","","","10.1016/j.bandc.2015.08.006"
"28667669","Optogenetic stimulation of dentate gyrus engrams restores memory in Alzheimer's disease mice","Perusini JN, Cajigas SA, Cohensedgh O, Lim SC, Pavlova IP, Donaldson ZR, Denny CA.","Hippocampus. 2017 Oct;27(10):1110-1122. doi: 10.1002/hipo.22756. Epub 2017 Jul 20.","Perusini JN","Hippocampus","2017","2017/07/02","PMC5610644","NIHMS896164","10.1002/hipo.22756"
"31735148","What can animal communication teach us about human language?","Fishbein AR, Fritz JB, Idsardi WJ, Wilkinson GS.","Philos Trans R Soc Lond B Biol Sci. 2020 Jan 6;375(1789):20190042. doi: 10.1098/rstb.2019.0042. Epub 2019 Nov 18.","Fishbein AR","Philos Trans R Soc Lond B Biol Sci","2020","2019/11/19","PMC6895550","","10.1098/rstb.2019.0042"
"31665627","Maturation of PNN and ErbB4 Signaling in Area CA2 during Adolescence Underlies the Emergence of PV Interneuron Plasticity and Social Memory","Domínguez S, Rey CC, Therreau L, Fanton A, Massotte D, Verret L, Piskorowski RA, Chevaleyre V.","Cell Rep. 2019 Oct 29;29(5):1099-1112.e4. doi: 10.1016/j.celrep.2019.09.044.","Domínguez S","Cell Rep","2019","2019/10/31","","","10.1016/j.celrep.2019.09.044"
"31753133","Animal models of cognitive aging and circuit-specific vulnerability","Burke SN, Foster TC.","Handb Clin Neurol. 2019;167:19-36. doi: 10.1016/B978-0-12-804766-8.00002-9.","Burke SN","Handb Clin Neurol","2019","2019/11/23","","","10.1016/B978-0-12-804766-8.00002-9"
"31735152","Syntax and compositionality in animal communication","Zuberbühler K.","Philos Trans R Soc Lond B Biol Sci. 2020 Jan 6;375(1789):20190062. doi: 10.1098/rstb.2019.0062. Epub 2019 Nov 18.","Zuberbühler K","Philos Trans R Soc Lond B Biol Sci","2020","2019/11/19","PMC6895557","","10.1098/rstb.2019.0062"
"30603931","Do cuttlefish have fraction number sense?","Huang YH, Lin HJ, Lin LY, Chiao CC.","Anim Cogn. 2019 Mar;22(2):163-168. doi: 10.1007/s10071-018-01232-3. Epub 2019 Jan 2.","Huang YH","Anim Cogn","2019","2019/01/04","","","10.1007/s10071-018-01232-3"
"31925602","Social context increases ultrasonic vocalizations during restraint in adult mice","Lefebvre E, Granon S, Chauveau F.","Anim Cogn. 2020 Mar;23(2):351-359. doi: 10.1007/s10071-019-01338-2. Epub 2020 Jan 10.","Lefebvre E","Anim Cogn","2020","2020/01/12","","","10.1007/s10071-019-01338-2"
"29894866","Assessment of cognitive functions in animal models of schizophrenia","Nikiforuk A.","Pharmacol Rep. 2018 Aug;70(4):639-649. doi: 10.1016/j.pharep.2018.01.009. Epub 2018 Feb 2.","Nikiforuk A","Pharmacol Rep","2018","2018/06/13","","","10.1016/j.pharep.2018.01.009"
"27477199","Social Preference and Glutamatergic Dysfunction: Underappreciated Prerequisites for Social Dysfunction in Schizophrenia","Lee J, Green MF.","Trends Neurosci. 2016 Sep;39(9):587-596. doi: 10.1016/j.tins.2016.06.005. Epub 2016 Jul 29.","Lee J","Trends Neurosci","2016","2016/08/02","PMC5951176","NIHMS796626","10.1016/j.tins.2016.06.005"
"26946502","A Plea for Cross-species Social Neuroscience","Keysers C, Gazzola V.","Curr Top Behav Neurosci. 2017;30:179-191. doi: 10.1007/7854_2016_439.","Keysers C","Curr Top Behav Neurosci","2017","2016/03/07","PMC5536225","EMS73474","10.1007/7854_2016_439"
"33260106","Translational opportunities for circuit-based social neuroscience: advancing 21st century psychiatry","Ford CL, Young LJ.","Curr Opin Neurobiol. 2020 Nov 28;68:1-8. doi: 10.1016/j.conb.2020.11.007. Online ahead of print.","Ford CL","Curr Opin Neurobiol","2020","2020/12/01","","","10.1016/j.conb.2020.11.007"
"31099977","Theory of mind in animals: Current and future directions","Krupenye C, Call J.","Wiley Interdiscip Rev Cogn Sci. 2019 Nov;10(6):e1503. doi: 10.1002/wcs.1503. Epub 2019 May 17.","Krupenye C","Wiley Interdiscip Rev Cogn Sci","2019","2019/05/18","","","10.1002/wcs.1503"
"31326506","Cannabidiol improves behavioural and neurochemical deficits in adult female offspring of the maternal immune activation (poly I:C) model of neurodevelopmental disorders","Osborne AL, Solowij N, Babic I, Lum JS, Huang XF, Newell KA, Weston-Green K.","Brain Behav Immun. 2019 Oct;81:574-587. doi: 10.1016/j.bbi.2019.07.018. Epub 2019 Jul 19.","Osborne AL","Brain Behav Immun","2019","2019/07/22","","","10.1016/j.bbi.2019.07.018"
"30607673","Absolute brain size predicts dog breed differences in executive function","Horschler DJ, Hare B, Call J, Kaminski J, Miklósi Á, MacLean EL.","Anim Cogn. 2019 Mar;22(2):187-198. doi: 10.1007/s10071-018-01234-1. Epub 2019 Jan 3.","Horschler DJ","Anim Cogn","2019","2019/01/05","","","10.1007/s10071-018-01234-1"
"31557550","A comparative approach to affect and cooperation","Massen JJM, Behrens F, Martin JS, Stocker M, Brosnan SF.","Neurosci Biobehav Rev. 2019 Dec;107:370-387. doi: 10.1016/j.neubiorev.2019.09.027. Epub 2019 Sep 23.","Massen JJM","Neurosci Biobehav Rev","2019","2019/09/27","","","10.1016/j.neubiorev.2019.09.027"
"32171842","Biomarkers for moral cognition: Current status and future prospects for neurotransmitters and neuropeptides","Reese M, Bryant D, Ethridge L.","Neurosci Biobehav Rev. 2020 Jun;113:88-97. doi: 10.1016/j.neubiorev.2020.03.009. Epub 2020 Mar 17.","Reese M","Neurosci Biobehav Rev","2020","2020/03/16","","","10.1016/j.neubiorev.2020.03.009"
"27919782","Understanding zebrafish cognition","Meshalkina DA, Kizlyk MN, Kysil EV, Collier AD, Echevarria DJ, Abreu MS, Barcellos LJG, Song C, Kalueff AV.","Behav Processes. 2017 Aug;141(Pt 2):229-241. doi: 10.1016/j.beproc.2016.11.020. Epub 2016 Dec 2.","Meshalkina DA","Behav Processes","2017","2016/12/07","","","10.1016/j.beproc.2016.11.020"
"31829681","Awards for Distinguished Scientific Early Career Contributions to Psychology","","Am Psychol. 2019 Dec;74(9):1033-1035. doi: 10.1037/h0101705.","","Am Psychol","2019","2019/12/13","","","10.1037/h0101705"
"31129657","The structure of non-human cognitive neuroscience: an epistemological critique","Almeida F.","Rev Neurosci. 2019 Nov 26;30(8):881-888. doi: 10.1515/revneuro-2019-0006.","Almeida F","Rev Neurosci","2019","2019/05/27","","","10.1515/revneuro-2019-0006"
"31202911","Effect of cannabidiol on endocannabinoid, glutamatergic and GABAergic signalling markers in male offspring of a maternal immune activation (poly I:C) model relevant to schizophrenia","Osborne AL, Solowij N, Babic I, Lum JS, Newell KA, Huang XF, Weston-Green K.","Prog Neuropsychopharmacol Biol Psychiatry. 2019 Dec 20;95:109666. doi: 10.1016/j.pnpbp.2019.109666. Epub 2019 Jun 14.","Osborne AL","Prog Neuropsychopharmacol Biol Psychiatry","2019","2019/06/17","","","10.1016/j.pnpbp.2019.109666"
"32385570","An information-theory approach to geometry for animal groups","Dahl CD, Ferrando E, Zuberbühler K.","Anim Cogn. 2020 Jul;23(4):807-817. doi: 10.1007/s10071-020-01374-3. Epub 2020 May 8.","Dahl CD","Anim Cogn","2020","2020/05/10","","","10.1007/s10071-020-01374-3"
"32662725","Place and Environment in the Ongoing Evolution of Cognitive Neuroscience","Irwin LN, Irwin BA.","J Cogn Neurosci. 2020 Oct;32(10):1837-1850. doi: 10.1162/jocn_a_01607. Epub 2020 Jul 14.","Irwin LN","J Cogn Neurosci","2020","2020/07/15","","","10.1162/jocn_a_01607"
"27014163","How Can We Study the Evolution of Animal Minds?","Cauchoix M, Chaine AS.","Front Psychol. 2016 Mar 15;7:358. doi: 10.3389/fpsyg.2016.00358. eCollection 2016.","Cauchoix M","Front Psychol","2016","2016/03/26","PMC4791388","","10.3389/fpsyg.2016.00358"
"29487030","Infant fMRI: A Model System for Cognitive Neuroscience","Ellis CT, Turk-Browne NB.","Trends Cogn Sci. 2018 May;22(5):375-387. doi: 10.1016/j.tics.2018.01.005. Epub 2018 Feb 24.","Ellis CT","Trends Cogn Sci","2018","2018/03/01","PMC5911209","NIHMS935025","10.1016/j.tics.2018.01.005"
"33382286","Award for Distinguished Scientific Early Career Contributions to Psychology: Ben Dantzer","","Am Psychol. 2020 Dec;75(9):1225-1227. doi: 10.1037/amp0000783.","","Am Psychol","2020","2020/12/31","","","10.1037/amp0000783"
"32374080","Translational cognitive neuroscience of dementia with touchscreen operant chambers","Lee JH, Cho SY, Kim E.","Genes Brain Behav. 2021 Jan;20(1):e12664. doi: 10.1111/gbb.12664. Epub 2020 Aug 18.","Lee JH","Genes Brain Behav","2021","2020/05/07","","","10.1111/gbb.12664"
"33233361","The Protective and Long-Lasting Effects of Human Milk Oligosaccharides on Cognition in Mammals","Docq S, Spoelder M, Wang W, Homberg JR.","Nutrients. 2020 Nov 21;12(11):3572. doi: 10.3390/nu12113572.","Docq S","Nutrients","2020","2020/11/25","PMC7700157","","10.3390/nu12113572"
"27825934","Social behaviors and acoustic vocalizations in different strains of mice","Faure A, Pittaras E, Nosjean A, Chabout J, Cressant A, Granon S.","Behav Brain Res. 2017 Mar 1;320:383-390. doi: 10.1016/j.bbr.2016.11.003. Epub 2016 Nov 4.","Faure A","Behav Brain Res","2017","2016/11/10","","","10.1016/j.bbr.2016.11.003"
"33090846","Interactive rhythms in the wild, in the brain, and in silico","Anichini M, de Heer Kloots M, Ravignani A.","Can J Exp Psychol. 2020 Sep;74(3):170-175. doi: 10.1037/cep0000224.","Anichini M","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000224"
"33113034","Dog cognitive development: a longitudinal study across the first 2 years of life","Bray EE, Gruen ME, Gnanadesikan GE, Horschler DJ, Levy KM, Kennedy BS, Hare BA, MacLean EL.","Anim Cogn. 2020 Oct 28. doi: 10.1007/s10071-020-01443-7. Online ahead of print.","Bray EE","Anim Cogn","2020","2020/10/28","","","10.1007/s10071-020-01443-7"
"33382291","Award for Distinguished Scientific Early Career Contributions to Psychology: Nazbanou Nozari","","Am Psychol. 2020 Dec;75(9):1260-1262. doi: 10.1037/amp0000789.","","Am Psychol","2020","2020/12/31","","","10.1037/amp0000789"
"26912607","Growing up in a Bubble: Using Germ-Free Animals to Assess the Influence of the Gut Microbiota on Brain and Behavior","Luczynski P, McVey Neufeld KA, Oriach CS, Clarke G, Dinan TG, Cryan JF.","Int J Neuropsychopharmacol. 2016 Aug 12;19(8):pyw020. doi: 10.1093/ijnp/pyw020. Print 2016 Aug.","Luczynski P","Int J Neuropsychopharmacol","2016","2016/02/26","PMC5006193","","10.1093/ijnp/pyw020"
