PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31749114","Questioning the developmental effects of group size on cognitive abilities","Lambert CT, Sewall KB, Guillette LM.","Learn Behav. 2019 Dec;47(4):280-283. doi: 10.3758/s13420-019-00395-4.","Lambert CT","Learn Behav","2019","2019/11/22","","","10.3758/s13420-019-00395-4"
"33090846","Interactive rhythms in the wild, in the brain, and in silico","Anichini M, de Heer Kloots M, Ravignani A.","Can J Exp Psychol. 2020 Sep;74(3):170-175. doi: 10.1037/cep0000224.","Anichini M","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000224"
"27014163","How Can We Study the Evolution of Animal Minds?","Cauchoix M, Chaine AS.","Front Psychol. 2016 Mar 15;7:358. doi: 10.3389/fpsyg.2016.00358. eCollection 2016.","Cauchoix M","Front Psychol","2016","2016/03/26","PMC4791388","","10.3389/fpsyg.2016.00358"
"30654122","Technology or ecology? New tools to assess cognitive judgement bias in mice","Krakenberg V, Woigk I, Garcia Rodriguez L, Kästner N, Kaiser S, Sachser N, Richter SH.","Behav Brain Res. 2019 Apr 19;362:279-287. doi: 10.1016/j.bbr.2019.01.021. Epub 2019 Jan 14.","Krakenberg V","Behav Brain Res","2019","2019/01/18","","","10.1016/j.bbr.2019.01.021"
"27336738","The whole worm: brain-body-environment models of C. elegans","Izquierdo EJ, Beer RD.","Curr Opin Neurobiol. 2016 Oct;40:23-30. doi: 10.1016/j.conb.2016.06.005. Epub 2016 Jun 20.","Izquierdo EJ","Curr Opin Neurobiol","2016","2016/06/24","","","10.1016/j.conb.2016.06.005"
"31254880","Early life stress induces submissive behavior in adult rats","Frank D, Zlotnik A, Kofman O, Grinshpun J, Severynovska O, Brotfain E, Kut R, Natanel D, Melamed I, Boyko M.","Behav Brain Res. 2019 Oct 17;372:112025. doi: 10.1016/j.bbr.2019.112025. Epub 2019 Jun 26.","Frank D","Behav Brain Res","2019","2019/06/30","","","10.1016/j.bbr.2019.112025"
"27368636","Key cognitive preconditions for the evolution of language","Donald M.","Psychon Bull Rev. 2017 Feb;24(1):204-208. doi: 10.3758/s13423-016-1102-x.","Donald M","Psychon Bull Rev","2017","2016/07/03","","","10.3758/s13423-016-1102-x"
"31110007","Negative emotional contagion and cognitive bias in common ravens (Corvus corax)","Adriaense JEC, Martin JS, Schiestl M, Lamm C, Bugnyar T.","Proc Natl Acad Sci U S A. 2019 Jun 4;116(23):11547-11552. doi: 10.1073/pnas.1817066116. Epub 2019 May 20.","Adriaense JEC","Proc Natl Acad Sci U S A","2019","2019/05/22","PMC6561263","","10.1073/pnas.1817066116"
"31042731","Correlates of social role and conflict severity in wild vervet monkey agonistic screams","Mercier S, Déaux EC, van de Waal E, Bono AEJ, Zuberbühler K.","PLoS One. 2019 May 1;14(5):e0214640. doi: 10.1371/journal.pone.0214640. eCollection 2019.","Mercier S","PLoS One","2019","2019/05/03","PMC6493722","","10.1371/journal.pone.0214640"
"29681845","Editorial: Human and Animal Models for Translational Research on Neurodegeneration: Challenges and Opportunities From South America","Ibáñez A, Sedeño L, García AM, Deacon RMJ, Cogram P.","Front Aging Neurosci. 2018 Apr 6;10:95. doi: 10.3389/fnagi.2018.00095. eCollection 2018.","Ibáñez A","Front Aging Neurosci","2018","2018/04/24","PMC5897422","","10.3389/fnagi.2018.00095"
"29861509","PRINCIPLES AND PATTERNS OF BAT MOVEMENTS: FROM AERODYNAMICS TO ECOLOGY","Voigt CC, Frick WF, Holderied MW, Holland R, Kerth G, Mello MAR, Plowright RK, Swartz S, Yovel Y.","Q Rev Biol. 2017 Sep;92(3):267-287. doi: 10.1086/693847.","Voigt CC","Q Rev Biol","2017","2018/06/05","PMC5983048","NIHMS936582","10.1086/693847"
"30104435","Stress hormones, social associations and song learning in zebra finches","Boogert NJ, Lachlan RF, Spencer KA, Templeton CN, Farine DR.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170290. doi: 10.1098/rstb.2017.0290.","Boogert NJ","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107560","","10.1098/rstb.2017.0290"
"25619897","Rough-and-tumble play as a window on animal communication","Palagi E, Burghardt GM, Smuts B, Cordoni G, Dall'Olio S, Fouts HN, Řeháková-Petrů M, Siviy SM, Pellis SM.","Biol Rev Camb Philos Soc. 2016 May;91(2):311-27. doi: 10.1111/brv.12172. Epub 2015 Jan 25.","Palagi E","Biol Rev Camb Philos Soc","2016","2015/01/27","","","10.1111/brv.12172"
"27706919","The common marmoset: An overview of its natural history, ecology and behavior","Schiel N, Souto A.","Dev Neurobiol. 2017 Mar;77(3):244-262. doi: 10.1002/dneu.22458. Epub 2016 Nov 11.","Schiel N","Dev Neurobiol","2017","2016/10/06","","","10.1002/dneu.22458"
"28553839","A Primer on Foraging and the Explore/Exploit Trade-Off for Psychiatry Research","Addicott MA, Pearson JM, Sweitzer MM, Barack DL, Platt ML.","Neuropsychopharmacology. 2017 Sep;42(10):1931-1939. doi: 10.1038/npp.2017.108. Epub 2017 May 29.","Addicott MA","Neuropsychopharmacology","2017","2017/05/30","PMC5561336","","10.1038/npp.2017.108"
"29440515","Integrative studies of cultural evolution: crossing disciplinary boundaries to produce new insights","Kolodny O, Feldman MW, Creanza N.","Philos Trans R Soc Lond B Biol Sci. 2018 Apr 5;373(1743):20170048. doi: 10.1098/rstb.2017.0048.","Kolodny O","Philos Trans R Soc Lond B Biol Sci","2018","2018/02/15","PMC5812962","","10.1098/rstb.2017.0048"
"28057516","Social motivation and conflict resolution tactics as potential building blocks of sociality in cichlid fishes","Balshine S, Wong MYL, Reddon AR.","Behav Processes. 2017 Aug;141(Pt 2):152-160. doi: 10.1016/j.beproc.2017.01.001. Epub 2017 Jan 3.","Balshine S","Behav Processes","2017","2017/01/07","","","10.1016/j.beproc.2017.01.001"
"31600518","A Modular Approach to Vocal Learning: Disentangling the Diversity of a Complex Behavioral Trait","Wirthlin M, Chang EF, Knörnschild M, Krubitzer LA, Mello CV, Miller CT, Pfenning AR, Vernes SC, Tchernichovski O, Yartsev MM.","Neuron. 2019 Oct 9;104(1):87-99. doi: 10.1016/j.neuron.2019.09.036.","Wirthlin M","Neuron","2019","2019/10/11","","","10.1016/j.neuron.2019.09.036"
"32356029","Age influences domestic dog cognitive performance independent of average breed lifespan","Watowich MM, MacLean EL, Hare B, Call J, Kaminski J, Miklósi Á, Snyder-Mackler N.","Anim Cogn. 2020 Jul;23(4):795-805. doi: 10.1007/s10071-020-01385-0. Epub 2020 Apr 30.","Watowich MM","Anim Cogn","2020","2020/05/02","PMC7384235","NIHMS1608567","10.1007/s10071-020-01385-0"
"31222847","Hybridization in human evolution: Insights from other organisms","Ackermann RR, Arnold ML, Baiz MD, Cahill JA, Cortés-Ortiz L, Evans BJ, Grant BR, Grant PR, Hallgrimsson B, Humphreys RA, Jolly CJ, Malukiewicz J, Percival CJ, Ritzman TB, Roos C, Roseman CC, Schroeder L, Smith FH, Warren KA, Wayne RK, Zinner D.","Evol Anthropol. 2019 Jul;28(4):189-209. doi: 10.1002/evan.21787. Epub 2019 Jun 20.","Ackermann RR","Evol Anthropol","2019","2019/06/22","PMC6980311","NIHMS1060061","10.1002/evan.21787"
"26552515","Leadership in Mammalian Societies: Emergence, Distribution, Power, and Payoff","Smith JE, Gavrilets S, Mulder MB, Hooper PL, Mouden CE, Nettle D, Hauert C, Hill K, Perry S, Pusey AE, van Vugt M, Smith EA.","Trends Ecol Evol. 2016 Jan;31(1):54-66. doi: 10.1016/j.tree.2015.09.013. Epub 2015 Nov 6.","Smith JE","Trends Ecol Evol","2016","2015/11/11","","","10.1016/j.tree.2015.09.013"
"30854422","The comparative genomics and complex population history of Papio baboons","Rogers J, Raveendran M, Harris RA, Mailund T, Leppälä K, Athanasiadis G, Schierup MH, Cheng J, Munch K, Walker JA, Konkel MK, Jordan V, Steely CJ, Beckstrom TO, Bergey C, Burrell A, Schrempf D, Noll A, Kothe M, Kopp GH, Liu Y, Murali S, Billis K, Martin FJ, Muffato M, Cox L, Else J, Disotell T, Muzny DM, Phillips-Conroy J, Aken B, Eichler EE, Marques-Bonet T, Kosiol C, Batzer MA, Hahn MW, Tung J, Zinner D, Roos C, Jolly CJ, Gibbs RA, Worley KC; Baboon Genome Analysis Consortium.","Sci Adv. 2019 Jan 30;5(1):eaau6947. doi: 10.1126/sciadv.aau6947. eCollection 2019 Jan.","Rogers J","Sci Adv","2019","2019/03/12","PMC6401983","","10.1126/sciadv.aau6947"
"29440518","The evolution of the capacity for language: the ecological context and adaptive value of a process of cognitive hijacking","Kolodny O, Edelman S.","Philos Trans R Soc Lond B Biol Sci. 2018 Apr 5;373(1743):20170052. doi: 10.1098/rstb.2017.0052.","Kolodny O","Philos Trans R Soc Lond B Biol Sci","2018","2018/02/15","PMC5812965","","10.1098/rstb.2017.0052"
"30296994","Personality links with lifespan in chimpanzees","Altschul DM, Hopkins WD, Herrelko ES, Inoue-Murayama M, Matsuzawa T, King JE, Ross SR, Weiss A.","Elife. 2018 Oct 9;7:e33781. doi: 10.7554/eLife.33781.","Altschul DM","Elife","2018","2018/10/10","PMC6177254","","10.7554/eLife.33781"
"29717679","Review: Assessing fish welfare in research and aquaculture, with a focus on European directives","Toni M, Manciocco A, Angiulli E, Alleva E, Cioni C, Malavasi S.","Animal. 2019 Jan;13(1):161-170. doi: 10.1017/S1751731118000940. Epub 2018 May 2.","Toni M","Animal","2019","2018/05/03","","","10.1017/S1751731118000940"
"31339177","Artificial selection on brain size leads to matching changes in overall number of neurons","Marhounová L, Kotrschal A, Kverková K, Kolm N, Němec P.","Evolution. 2019 Sep;73(9):2003-2012. doi: 10.1111/evo.13805. Epub 2019 Aug 1.","Marhounová L","Evolution","2019","2019/07/25","PMC6772110","","10.1111/evo.13805"
"31045220","Serotonin Receptor 1A Variation Is Associated with Anxiety and Agonistic Behavior in Chimpanzees","Staes N, Sherwood CC, Freeman H, Brosnan SF, Schapiro SJ, Hopkins WD, Bradley BJ.","Mol Biol Evol. 2019 Jul 1;36(7):1418-1429. doi: 10.1093/molbev/msz061.","Staes N","Mol Biol Evol","2019","2019/05/03","","","10.1093/molbev/msz061"
"30613937","Exercise-induced loading increases ilium cortical area in a selectively bred mouse model","Lewton KL, Ritzman T, Copes LE, Garland T Jr, Capellini TD.","Am J Phys Anthropol. 2019 Mar;168(3):543-551. doi: 10.1002/ajpa.23770. Epub 2019 Jan 5.","Lewton KL","Am J Phys Anthropol","2019","2019/01/08","","","10.1002/ajpa.23770"
"29593541","A Preliminary Investigation on Smokeless Tobacco Use and Its Cognitive Effects Among Athletes","Zandonai T, Chiamulera C, Mancabelli A, Falconieri D, Diana M.","Front Pharmacol. 2018 Mar 12;9:216. doi: 10.3389/fphar.2018.00216. eCollection 2018.","Zandonai T","Front Pharmacol","2018","2018/03/30","PMC5857588","","10.3389/fphar.2018.00216"
"32321753","Learning of bimodal versus unimodal signals in restrained bumble bees","Riveros AJ, Leonard AS, Gronenberg W, Papaj DR.","J Exp Biol. 2020 May 18;223(Pt 10):jeb220103. doi: 10.1242/jeb.220103.","Riveros AJ","J Exp Biol","2020","2020/04/24","","","10.1242/jeb.220103"
"30174189","Payoff- and Sex-Biased Social Learning Interact in a Wild Primate Population","Bono AEJ, Whiten A, van Schaik C, Krützen M, Eichenberger F, Schnider A, van de Waal E.","Curr Biol. 2018 Sep 10;28(17):2800-2805.e4. doi: 10.1016/j.cub.2018.06.015. Epub 2018 Aug 30.","Bono AEJ","Curr Biol","2018","2018/09/04","","","10.1016/j.cub.2018.06.015"
"30306256","Comparison of bonobo and chimpanzee brain microstructure reveals differences in socio-emotional circuits","Issa HA, Staes N, Diggs-Galligan S, Stimpson CD, Gendron-Fitzpatrick A, Taglialatela JP, Hof PR, Hopkins WD, Sherwood CC.","Brain Struct Funct. 2019 Jan;224(1):239-251. doi: 10.1007/s00429-018-1751-9. Epub 2018 Oct 10.","Issa HA","Brain Struct Funct","2019","2018/10/12","","","10.1007/s00429-018-1751-9"
"28276652","Worker brain development and colony organization in ants: Does division of labor influence neuroplasticity?","Kamhi JF, Sandridge-Gresko A, Walker C, Robson SKA, Traniello JFA.","Dev Neurobiol. 2017 Sep;77(9):1072-1085. doi: 10.1002/dneu.22496. Epub 2017 Jun 20.","Kamhi JF","Dev Neurobiol","2017","2017/03/10","","","10.1002/dneu.22496"
"31063801","A versatile macro-based neurohistological image analysis suite for ImageJ focused on automated and standardized user interaction and reproducible data output","Timothy M, Forlano PM.","J Neurosci Methods. 2019 Aug 1;324:108286. doi: 10.1016/j.jneumeth.2019.04.009. Epub 2019 May 4.","Timothy M","J Neurosci Methods","2019","2019/05/08","","","10.1016/j.jneumeth.2019.04.009"
"29514054","The long-lived Octodon degus as a rodent drug discovery model for Alzheimer's and other age-related diseases","Hurley MJ, Deacon RMJ, Beyer K, Ioannou E, Ibáñez A, Teeling JL, Cogram P.","Pharmacol Ther. 2018 Aug;188:36-44. doi: 10.1016/j.pharmthera.2018.03.001. Epub 2018 Mar 4.","Hurley MJ","Pharmacol Ther","2018","2018/03/08","","","10.1016/j.pharmthera.2018.03.001"
"28992072","Attention and Motivated Response to Simulated Male Advertisement Call Activates Forebrain Dopaminergic and Social Decision-Making Network Nuclei in Female Midshipman Fish","Forlano PM, Licorish RR, Ghahramani ZN, Timothy M, Ferrari M, Palmer WC, Sisneros JA.","Integr Comp Biol. 2017 Oct 1;57(4):820-834. doi: 10.1093/icb/icx053.","Forlano PM","Integr Comp Biol","2017","2017/10/10","PMC5886316","","10.1093/icb/icx053"
"31712680","The ability to recognize dog emotions depends on the cultural milieu in which we grow up","Amici F, Waterman J, Kellermann CM, Karimullah K, Bräuer J.","Sci Rep. 2019 Nov 11;9(1):16414. doi: 10.1038/s41598-019-52938-4.","Amici F","Sci Rep","2019","2019/11/13","PMC6848084","","10.1038/s41598-019-52938-4"
"25428267","Acoustic sequences in non-human animals: a tutorial review and prospectus","Kershenbaum A, Blumstein DT, Roch MA, Akçay Ç, Backus G, Bee MA, Bohn K, Cao Y, Carter G, Cäsar C, Coen M, DeRuiter SL, Doyle L, Edelman S, Ferrer-i-Cancho R, Freeberg TM, Garland EC, Gustison M, Harley HE, Huetz C, Hughes M, Hyland Bruno J, Ilany A, Jin DZ, Johnson M, Ju C, Karnowski J, Lohr B, Manser MB, McCowan B, Mercado E 3rd, Narins PM, Piel A, Rice M, Salmi R, Sasahara K, Sayigh L, Shiu Y, Taylor C, Vallejo EE, Waller S, Zamora-Gutierrez V.","Biol Rev Camb Philos Soc. 2016 Feb;91(1):13-52. doi: 10.1111/brv.12160. Epub 2014 Nov 26.","Kershenbaum A","Biol Rev Camb Philos Soc","2016","2014/11/28","PMC4444413","NIHMS671424","10.1111/brv.12160"
"32307710","Territory acquisition mediates the influence of predators and climate on juvenile red squirrel survival","Hendrix JG, Fisher DN, Martinig AR, Boutin S, Dantzer B, Lane JE, McAdam AG.","J Anim Ecol. 2020 Jun;89(6):1408-1418. doi: 10.1111/1365-2656.13209. Epub 2020 Apr 19.","Hendrix JG","J Anim Ecol","2020","2020/04/21","","","10.1111/1365-2656.13209"
"33114054","Impact of Hyperhomocysteinemia and Different Dietary Interventions on Cognitive Performance in a Knock-in Mouse Model for Alzheimer's Disease","Nieraad H, de Bruin N, Arne O, Hofmann MCJ, Schmidt M, Saito T, Saido TC, Gurke R, Schmidt D, Till U, Parnham MJ, Geisslinger G.","Nutrients. 2020 Oct 23;12(11):3248. doi: 10.3390/nu12113248.","Nieraad H","Nutrients","2020","2020/10/29","PMC7690745","","10.3390/nu12113248"
"31204161","Forebrain Dopamine System Regulates Inner Ear Auditory Sensitivity to Socially Relevant Acoustic Signals","Perelmuter JT, Wilson AB, Sisneros JA, Forlano PM.","Curr Biol. 2019 Jul 8;29(13):2190-2198.e3. doi: 10.1016/j.cub.2019.05.055. Epub 2019 Jun 13.","Perelmuter JT","Curr Biol","2019","2019/06/18","","","10.1016/j.cub.2019.05.055"
"29792283","Repurposing available drugs for neurodevelopmental disorders: The fragile X experience","Tranfaglia MR, Thibodeaux C, Mason DJ, Brown D, Roberts I, Smith R, Guilliams T, Cogram P.","Neuropharmacology. 2019 Mar 15;147:74-86. doi: 10.1016/j.neuropharm.2018.05.004. Epub 2018 May 4.","Tranfaglia MR","Neuropharmacology","2019","2018/05/25","","","10.1016/j.neuropharm.2018.05.004"
"29848648","Quantifying uncertainty due to fission-fusion dynamics as a component of social complexity","Ramos-Fernandez G, King AJ, Beehner JC, Bergman TJ, Crofoot MC, Di Fiore A, Lehmann J, Schaffner CM, Snyder-Mackler N, Zuberbühler K, Aureli F, Boyer D.","Proc Biol Sci. 2018 May 30;285(1879):20180532. doi: 10.1098/rspb.2018.0532.","Ramos-Fernandez G","Proc Biol Sci","2018","2018/06/01","PMC5998110","","10.1098/rspb.2018.0532"
"26475872","Differential serotonergic innervation of the amygdala in bonobos and chimpanzees","Stimpson CD, Barger N, Taglialatela JP, Gendron-Fitzpatrick A, Hof PR, Hopkins WD, Sherwood CC.","Soc Cogn Affect Neurosci. 2016 Mar;11(3):413-22. doi: 10.1093/scan/nsv128. Epub 2015 Oct 16.","Stimpson CD","Soc Cogn Affect Neurosci","2016","2015/10/18","PMC4769630","","10.1093/scan/nsv128"
"27798312","Social complexity influences brain investment and neural operation costs in ants","Kamhi JF, Gronenberg W, Robson SK, Traniello JF.","Proc Biol Sci. 2016 Oct 26;283(1841):20161949. doi: 10.1098/rspb.2016.1949.","Kamhi JF","Proc Biol Sci","2016","2016/11/01","PMC5095391","","10.1098/rspb.2016.1949"
"28693720","Individual recognition and the 'face inversion effect' in medaka fish (Oryzias latipes)","Wang MY, Takeuchi H.","Elife. 2017 Jul 11;6:e24728. doi: 10.7554/eLife.24728.","Wang MY","Elife","2017","2017/07/12","PMC5505697","","10.7554/eLife.24728"
"29597197","Brain Activation Patterns in Response to Conspecific and Heterospecific Social Acoustic Signals in Female Plainfin Midshipman Fish, Porichthys notatus","Mohr RA, Chang Y, Bhandiwad AA, Forlano PM, Sisneros JA.","Brain Behav Evol. 2018;91(1):31-44. doi: 10.1159/000487122. Epub 2018 Mar 29.","Mohr RA","Brain Behav Evol","2018","2018/03/30","PMC5906144","NIHMS941264","10.1159/000487122"
"27346539","First description of the neuro-anatomy of a larval coral reef fish Amphiprion ocellaris","Jacob H, Metian M, Brooker RM, Duran E, Nakamura N, Roux N, Masanet P, Soulat O, Lecchini D.","J Fish Biol. 2016 Sep;89(3):1583-91. doi: 10.1111/jfb.13057. Epub 2016 Jun 26.","Jacob H","J Fish Biol","2016","2016/06/28","","","10.1111/jfb.13057"
"32221844","Awareness of danger inside the egg: Evidence of innate and learned predator recognition in cuttlefish embryos","Mezrai N, Arduini L, Dickel L, Chiao CC, Darmaillacq AS.","Learn Behav. 2020 Dec;48(4):401-410. doi: 10.3758/s13420-020-00424-7.","Mezrai N","Learn Behav","2020","2020/03/30","","","10.3758/s13420-020-00424-7"
"28549647","Pavlovian influences on learning differ between rats and mice in a counter-balanced Go/NoGo judgement bias task","Jones S, Paul ES, Dayan P, Robinson ESJ, Mendl M.","Behav Brain Res. 2017 Jul 28;331:214-224. doi: 10.1016/j.bbr.2017.05.044. Epub 2017 May 23.","Jones S","Behav Brain Res","2017","2017/05/28","PMC5480777","","10.1016/j.bbr.2017.05.044"
"30217439","Dopaminergic neurons are preferentially responsive to advertisement calls and co-active with social behavior network nuclei in sneaker male midshipman fish","Ghahramani ZN, Timothy M, Varughese J, Sisneros JA, Forlano PM.","Brain Res. 2018 Dec 15;1701:177-188. doi: 10.1016/j.brainres.2018.09.014. Epub 2018 Sep 11.","Ghahramani ZN","Brain Res","2018","2018/09/16","","","10.1016/j.brainres.2018.09.014"
"30264371","Rapid eye movement density during REM sleep in dogs (Canis familiaris)","Kovács E, Kosztolányi A, Kis A.","Learn Behav. 2018 Dec;46(4):554-560. doi: 10.3758/s13420-018-0355-9.","Kovács E","Learn Behav","2018","2018/09/29","","","10.3758/s13420-018-0355-9"
"27485658","Anxiety modulates cognitive deficits in a perinatal glutathione deficit animal model of schizophrenia","Preissmann D, Dépré M, Schenk F, Gisquet-Verrier P.","Brain Res. 2016 Oct 1;1648(Pt A):459-468. doi: 10.1016/j.brainres.2016.07.042. Epub 2016 Jul 30.","Preissmann D","Brain Res","2016","2016/08/04","","","10.1016/j.brainres.2016.07.042"
"27311774","Behavioral and functional strategies during tool use tasks in bonobos","Bardo A, Borel A, Meunier H, Guéry JP, Pouydebat E.","Am J Phys Anthropol. 2016 Sep;161(1):125-40. doi: 10.1002/ajpa.23015. Epub 2016 Jun 17.","Bardo A","Am J Phys Anthropol","2016","2016/06/18","","","10.1002/ajpa.23015"
"31431539","Reply to Vonk: Disentangling emotional contagion from its underlying causes","Adriaense JEC, Martin JS, Schiestl M, Lamm C, Bugnyar T.","Proc Natl Acad Sci U S A. 2019 Sep 10;116(37):18169-18170. doi: 10.1073/pnas.1910556116. Epub 2019 Aug 20.","Adriaense JEC","Proc Natl Acad Sci U S A","2019","2019/08/22","PMC6744921","","10.1073/pnas.1910556116"
"28298468","Selective attention in peacocks during assessment of rival males","Yorzinski JL, Patricelli GL, Bykau S, Platt ML.","J Exp Biol. 2017 Mar 15;220(Pt 6):1146-1153. doi: 10.1242/jeb.150946.","Yorzinski JL","J Exp Biol","2017","2017/03/17","","","10.1242/jeb.150946"
